Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
R6GD 12xlarge,r6gd.12xlarge,384 GiB,48 vCPUs,AWS Graviton2 Processor,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$3.3360 hourly,$4.5264 hourly,$3.3071 hourly,unavailable,unavailable
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64 GiB,16 vCPUs,Intel Xeon E5-2676 v3 (Haswell),EBS only,High,$1.0320 hourly,$1.2048 hourly,$0.8700 hourly,$1.7680 hourly,$1.4332 hourly
C5A Eight Extra Large,c5a.8xlarge,64 GiB,32 vCPUs,AMD EPYC 7R32,EBS only,10 Gigabit,$1.5360 hourly,$2.3300 hourly,$1.7610 hourly,$3.0080 hourly,$2.4400 hourly
D3 Eight Extra Large,d3.8xlarge,256 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),47520 GB (24×1980 GB NVMe HDD),25 Gigabit,$5.7934 hourly,$6.5870 hourly,$4.4435 hourly,$7.2654 hourly,$5.1219 hourly
C5A Double Extra Large,c5a.2xlarge,16 GiB,8 vCPUs,AMD EPYC 7R32,EBS only,Up to 10 Gigabit,$0.3840 hourly,$0.4990 hourly,$0.3570 hourly,$0.7520 hourly,$0.6100 hourly
C6GD Extra Large,c6gd.xlarge,8 GiB,4 vCPUs,AWS Graviton2 Processor,237 GB NVMe SSD,Up to 10 Gigabit,$0.1960 hourly,$0.2536 hourly,$0.1815 hourly,unavailable,unavailable
R7GD Double Extra Large,r7gd.2xlarge,64 GiB,8 vCPUs,AWS Graviton3 Processor,474 GB NVMe SSD,Up to 15 Gigabit,$0.6577 hourly,$0.7729 hourly,$0.5296 hourly,unavailable,unavailable
R5DN Double Extra Large,r5dn.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),300 GB NVMe SSD,Up to 25 Gigabit,$0.8120 hourly,$0.9272 hourly,$0.6268 hourly,$1.1800 hourly,$0.8800 hourly
R7IZ Large,r7iz.large,16 GiB,2 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2270 hourly,$0.2558 hourly,$0.1718 hourly,$0.3190 hourly,$0.2350 hourly
R7GD 16xlarge,r7gd.16xlarge,512 GiB,64 vCPUs,AWS Graviton3 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$5.2618 hourly,$6.8490 hourly,$4.9021 hourly,unavailable,unavailable
I3 High I/O Extra Large,i3.xlarge,30.5 GiB,4 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),950 GB NVMe SSD,Up to 10 Gigabit,$0.3660 hourly,$0.4240 hourly,$0.3050 hourly,$0.5500 hourly,$0.4320 hourly
M5ZN Double Extra Large,m5zn.2xlarge,32 GiB,8 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$0.8534 hourly,$0.9686 hourly,$0.6494 hourly,$1.2214 hourly,$0.9022 hourly
