Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
R5D Double Extra Large,r5d.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8175,300 GB NVMe SSD,Up to 10 Gigabit,$0.6960 hourly,$0.8110 hourly,$0.5540 hourly,$1.0640 hourly,$0.8060 hourly
INF1 24xlarge,inf1.24xlarge,192 GiB,96 vCPUs,Intel Xeon Platinum 8275CL (Cascade Lake),EBS only,100 Gigabit,$6.3760 hourly,$7.4130 hourly,$5.0540 hourly,unavailable,unavailable
R7A 32xlarge,r7a.32xlarge,1024 GiB,128 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$11.7466 hourly,$12.9754 hourly,$8.9992 hourly,$17.6346 hourly,$13.6584 hourly
C7A 16xlarge,c7a.16xlarge,128 GiB,64 vCPUs,AMD EPYC 9R14 Processor,EBS only,25 Gigabit,$4.1344 hourly,$4.8256 hourly,$3.4176 hourly,$7.0784 hourly,$5.6704 hourly
C8GD Metal-48xl,c8gd.metal-48xl,384 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.9539 hourly,$13.7971 hourly,unavailable,unavailable,unavailable
C6GD Large,c6gd.large,4 GiB,2 vCPUs,AWS Graviton2 Processor,118 GB NVMe SSD,Up to 10 Gigabit,$0.0980 hourly,$0.1268 hourly,$0.0907 hourly,unavailable,unavailable
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,EBS only,25 Gigabit,$5.1360 hourly,$6.1730 hourly,$4.2720 hourly,$9.5520 hourly,$7.6520 hourly
M5ZN Extra Large,m5zn.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$0.4267 hourly,$0.4843 hourly,$0.3247 hourly,$0.6107 hourly,$0.4511 hourly
C7GN 16xlarge,c7gn.16xlarge,128 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,200 Gigabit,$5.0368 hourly,$5.7280 hourly,$3.8379 hourly,unavailable,unavailable
C5A 16xlarge,c5a.16xlarge,128 GiB,64 vCPUs,AMD EPYC 7R32,EBS only,20 Gigabit,$3.0720 hourly,$3.7630 hourly,$2.6270 hourly,$6.0160 hourly,$4.8790 hourly
M7I 12xlarge,m7i.12xlarge,192 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,18.75 Gigabit,$3.1248 hourly,$3.6432 hourly,$2.5889 hourly,$5.3328 hourly,$4.2785 hourly
H1 Eight Extra Large,h1.8xlarge,128 GiB,32 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),8000 GB (4×2000 GB HDD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
P2 General Purpose GPU Extra Large,p2.xlarge,61 GiB,4 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,High,$1.5420 hourly,$1.6000 hourly,unavailable,$1.7260 hourly,unavailable
C7G Medium,c7g.medium,2 GiB,1 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.0455 hourly,$0.0774 hourly,$0.0619 hourly,unavailable,unavailable
U-12TB1 112xlarge,u-12tb1.112xlarge,12288 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,$131.7330 hourly,$136.0338 hourly,unavailable,$152.3410 hourly,unavailable
R8GD Extra Large,r8gd.xlarge,32 GiB,4 vCPUs,AWS Graviton4 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3552 hourly,$0.4128 hourly,unavailable,unavailable,unavailable
R5 Extra Large,r5.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.3040 hourly,$0.3620 hourly,$0.2490 hourly,$0.4880 hourly,$0.3760 hourly
G4DN Metal,g4dn.metal,384 GiB,96 vCPUs,Intel Xeon Family,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$10.5620 hourly,$12.9430 hourly,$9.5900 hourly,$14.9780 hourly,$11.6250 hourly
C7GN 12xlarge,c7gn.12xlarge,96 GiB,48 vCPUs,AWS Graviton3 Processor,EBS only,150 Gigabit,$3.7776 hourly,$4.2960 hourly,$2.8785 hourly,unavailable,unavailable
M8G Double Extra Large,m8g.2xlarge,32 GiB,8 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$0.4638 hourly,$0.7190 hourly,$0.5625 hourly,unavailable,unavailable
P5e High Performance Computing GPU 48xlarge,p5e.48xlarge,2048 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,3200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7I Large,c7i.large,4 GiB,2 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.1124 hourly,$0.1762 hourly,$0.1379 hourly,$0.2044 hourly,$0.1661 hourly
R7GD Extra Large,r7gd.xlarge,32 GiB,4 vCPUs,AWS Graviton3 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3289 hourly,$0.4565 hourly,$0.3348 hourly,unavailable,unavailable
R6I 32xlarge,r6i.32xlarge,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$9.7280 hourly,$12.3008 hourly,$9.0079 hourly,$15.6160 hourly,$12.3231 hourly
M7G Medium,m7g.medium,4 GiB,1 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.0527 hourly,$0.0846 hourly,$0.0668 hourly,unavailable,unavailable
T2 Extra Large,t2.xlarge,16 GiB,4 vCPUs (5h 24m burst),Intel Xeon Family,EBS only,Moderate,$0.2432 hourly,$0.3708 hourly,$0.2919 hourly,$0.2842 hourly,$0.2053 hourly
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,Intel Xeon E5-2666 v3 (Haswell),EBS only,Moderate,$0.1260 hourly,$0.1900 hourly,$0.1540 hourly,$0.2180 hourly,$0.1820 hourly
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,2048 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,unavailable,$80.9632 hourly,unavailable,unavailable,unavailable
M7GD Extra Large,m7gd.xlarge,16 GiB,4 vCPUs,AWS Graviton3 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2759 hourly,$0.4035 hourly,$0.3014 hourly,unavailable,unavailable
C5N Quadruple Extra Large,c5n.4xlarge,42 GiB,16 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 25 Gigabit,$1.0880 hourly,$1.2610 hourly,$0.8580 hourly,$1.8240 hourly,$1.4210 hourly
M6I Quadruple Extra Large,m6i.4xlarge,64 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.9920 hourly,$1.3888 hourly,$1.0541 hourly,$1.7280 hourly,$1.3933 hourly
R5A Double Extra Large,r5a.2xlarge,64 GiB,8 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.5480 hourly,$0.8030 hourly,$0.6000 hourly,$0.9160 hourly,$0.7130 hourly
R8G Double Extra Large,r8g.2xlarge,64 GiB,8 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$0.5685 hourly,$0.8237 hourly,$0.6312 hourly,unavailable,unavailable
C8GD 24xlarge,c8gd.24xlarge,192 GiB,96 vCPUs,AWS Graviton4 Processor,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$5.9770 hourly,$7.0138 hourly,unavailable,unavailable,unavailable
M7I-FLEX 16xlarge,m7i-flex.16xlarge,256 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 25 Gigabit,$3.9581 hourly,$4.6493 hourly,$3.3138 hourly,$6.9021 hourly,$5.5666 hourly
R5N Quadruple Extra Large,r5n.4xlarge,128 GiB,16 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$1.4480 hourly,$1.6210 hourly,$1.0850 hourly,$2.1840 hourly,$1.6480 hourly
T2 Medium,t2.medium,4 GiB,2 vCPUs (4h 48m burst),Intel Xeon Family,EBS only,Low to Moderate,$0.0608 hourly,$0.0896 hourly,$0.0699 hourly,$0.0788 hourly,$0.0591 hourly
R6IN Extra Large,r6in.xlarge,32 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 30 Gigabit,$0.4235 hourly,$0.5511 hourly,$0.3944 hourly,$0.6075 hourly,$0.4508 hourly
M5AD Quadruple Extra Large,m5ad.4xlarge,64 GiB,16 vCPUs,AMD EPYC 7571,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$1.0720 hourly,$1.2450 hourly,$0.8480 hourly,$1.8080 hourly,$1.4110 hourly
M7A Medium,m7a.medium,4 GiB,1 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.0749 hourly,$0.0893 hourly,$0.0640 hourly,$0.1209 hourly,$0.0956 hourly
C6GD 16xlarge,c6gd.16xlarge,128 GiB,64 vCPUs,AWS Graviton2 Processor,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.1360 hourly,$4.7232 hourly,$3.5695 hourly,unavailable,unavailable
R7GD Medium,r7gd.medium,8 GiB,1 vCPUs,AWS Graviton3 Processor,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0822 hourly,$0.1141 hourly,$0.0837 hourly,unavailable,unavailable
R7I 12xlarge,r7i.12xlarge,384 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,18.75 Gigabit,$3.8304 hourly,$5.0208 hourly,$3.7242 hourly,$6.0384 hourly,$4.7418 hourly
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,32 GiB,8 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.4948 hourly,$0.6100 hourly,$0.4430 hourly,$0.8444 hourly,$0.6774 hourly
M5AD 12xlarge,m5ad.12xlarge,192 GiB,48 vCPUs,AMD EPYC 7571,1800 GB (2×900 GB NVMe SSD),10 Gigabit,$3.2160 hourly,$4.4060 hourly,$3.2160 hourly,$5.4240 hourly,$4.2340 hourly
R6GD Double Extra Large,r6gd.2xlarge,64 GiB,8 vCPUs,AWS Graviton2 Processor,474 GB NVMe SSD,Up to 10 Gigabit,$0.5560 hourly,$0.8112 hourly,$0.6080 hourly,unavailable,unavailable
M6A Metal,m6a.metal,768 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$10.7136 hourly,$12.5568 hourly,$8.9420 hourly,$19.5456 hourly,$15.9308 hourly
T2 Large,t2.large,8 GiB,2 vCPUs (7h 12m burst),Intel Xeon Family,EBS only,Low to Moderate,$0.1216 hourly,$0.1854 hourly,$0.1460 hourly,$0.1496 hourly,$0.1102 hourly
X2IDN 32xlarge,x2idn.32xlarge,2048 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$19.3410 hourly,$21.9138 hourly,$14.4733 hourly,$25.2290 hourly,$17.7885 hourly
C6GD Eight Extra Large,c6gd.8xlarge,64 GiB,32 vCPUs,AWS Graviton2 Processor,1900 GB NVMe SSD,12 Gigabit,$1.5680 hourly,$2.3616 hourly,$1.7847 hourly,unavailable,unavailable
C7A Extra Large,c7a.xlarge,8 GiB,4 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.2584 hourly,$0.3860 hourly,$0.2980 hourly,$0.4424 hourly,$0.3544 hourly
I7I Extra Large,i7i.xlarge,32 GiB,4 vCPUs,Intel Xeon Scalable (Emerald Rapids),937 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384 GiB,96 vCPUs,AMD EPYC 7R32,3800 GB NVMe SSD,50 Gigabit,$11.8112 hourly,$12.8480 hourly,$8.4779 hourly,$16.2272 hourly,$11.8571 hourly
M7G Extra Large,m7g.xlarge,16 GiB,4 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.2108 hourly,$0.2684 hourly,$0.1973 hourly,unavailable,unavailable
C5A Quadruple Extra Large,c5a.4xlarge,32 GiB,16 vCPUs,AMD EPYC 7R32,EBS only,Up to 10 Gigabit,$0.7680 hourly,$0.9410 hourly,$0.6570 hourly,$1.5040 hourly,$1.2200 hourly
M7G Quadruple Extra Large,m7g.4xlarge,64 GiB,16 vCPUs,AWS Graviton3 Processor,EBS only,Up to 15 Gigabit,$0.8432 hourly,$1.0160 hourly,$0.7315 hourly,unavailable,unavailable
M6GD Double Extra Large,m6gd.2xlarge,32 GiB,8 vCPUs,AWS Graviton2 Processor,474 GB NVMe SSD,Up to 10 Gigabit,$0.4680 hourly,$0.7232 hourly,$0.5492 hourly,unavailable,unavailable
I3 High I/O Quadruple Extra Large,i3.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),3800 GB (2×1900 GB NVMe SSD),Up to 10 Gigabit,$1.4640 hourly,$1.6370 hourly,$1.1640 hourly,$2.2000 hourly,$1.7270 hourly
M6G Medium,m6g.medium,4 GiB,1 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.0495 hourly,$0.0814 hourly,$0.0634 hourly,unavailable,unavailable
M6IDN Eight Extra Large,m6idn.8xlarge,128 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),1900 GB NVMe SSD,50 Gigabit,$3.2760 hourly,$3.6216 hourly,$2.4095 hourly,$4.7480 hourly,$3.5359 hourly
R5DN Quadruple Extra Large,r5dn.4xlarge,128 GiB,16 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,$1.6240 hourly,$2.0208 hourly,$1.4199 hourly,$2.3600 hourly,$1.7590 hourly
M7G 16xlarge,m7g.16xlarge,256 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,30 Gigabit,$3.3728 hourly,$4.0640 hourly,$2.9258 hourly,unavailable,unavailable
M5 General Purpose 16xlarge,m5.16xlarge,256 GiB,64 vCPUs,Intel Xeon Platinum 8175,EBS only,20 Gigabit,$3.9680 hourly,$4.6590 hourly,$3.1910 hourly,$6.9120 hourly,$5.4440 hourly
R7G Medium,r7g.medium,8 GiB,1 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.0646 hourly,$0.0790 hourly,$0.0571 hourly,unavailable,unavailable
C8G Medium,c8g.medium,2 GiB,1 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.0500 hourly,$0.0644 hourly,$0.0474 hourly,unavailable,unavailable
R5D Extra Large,r5d.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8175,150 GB NVMe SSD,Up to 10 Gigabit,$0.3480 hourly,$0.4060 hourly,$0.2770 hourly,$0.5320 hourly,$0.4030 hourly
R8G Metal-24xl,r8g.metal-24xl,768 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$6.8218 hourly,$9.2026 hourly,$6.8934 hourly,unavailable,unavailable
R5A 12xlarge,r5a.12xlarge,384 GiB,48 vCPUs,AMD EPYC 7571,EBS only,10 Gigabit,$3.2880 hourly,$4.4780 hourly,$3.2580 hourly,$5.4960 hourly,$4.2760 hourly
M7A 24xlarge,m7a.24xlarge,384 GiB,96 vCPUs,AMD EPYC 9R14 Processor,EBS only,37.5 Gigabit,$7.1870 hourly,$8.2238 hourly,$5.7989 hourly,$11.6030 hourly,$9.1782 hourly
M4 General Purpose Large,m4.large,8 GiB,2 vCPUs,Intel Xeon E5-2676 v3 (Haswell),EBS only,Moderate,$0.1290 hourly,$0.1578 hourly,$0.1159 hourly,$0.2210 hourly,$0.1791 hourly
R8GD Metal-48xl,r8gd.metal-48xl,1536 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$17.0477 hourly,$20.9069 hourly,unavailable,unavailable,unavailable
C8G 16xlarge,c8g.16xlarge,128 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,30 Gigabit,$3.2019 hourly,$3.8931 hourly,$2.8026 hourly,unavailable,unavailable
C8GD 16xlarge,c8gd.16xlarge,128 GiB,64 vCPUs,AWS Graviton4 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.9846 hourly,$5.5718 hourly,unavailable,unavailable,unavailable
C8GD Eight Extra Large,c8gd.8xlarge,64 GiB,32 vCPUs,AWS Graviton4 Processor,1900 GB NVMe SSD,15 Gigabit,$1.9923 hourly,$2.7859 hourly,unavailable,unavailable,unavailable
R7I 24xlarge,r7i.24xlarge,768 GiB,96 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,37.5 Gigabit,$7.6608 hourly,$8.6976 hourly,$6.1044 hourly,$12.0768 hourly,$9.4836 hourly
U-12TB1 Metal,u-12tb1.metal,12288 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Large,r4.large,15.25 GiB,2 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$0.1600 hourly,$0.1888 hourly,$0.1296 hourly,$0.2520 hourly,$0.1928 hourly
I4I Large,i4i.large,16 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),468 GB NVMe SSD,Up to 10 Gigabit,$0.2010 hourly,$0.2300 hourly,$0.1600 hourly,$0.2930 hourly,$0.2230 hourly
X2GD Large,x2gd.large,32 GiB,2 vCPUs,AWS Graviton2 Processor,118 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M8GD 48xlarge,m8gd.48xlarge,768 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$14.3040 hourly,$16.1472 hourly,unavailable,unavailable,unavailable
C8GD Extra Large,c8gd.xlarge,8 GiB,4 vCPUs,AWS Graviton4 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2490 hourly,$0.3066 hourly,unavailable,unavailable,unavailable
R7G 16xlarge,r7g.16xlarge,512 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,30 Gigabit,$4.1344 hourly,$4.8256 hourly,$3.4261 hourly,unavailable,unavailable
R5B 16xlarge,r5b.16xlarge,512 GiB,64 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,20 Gigabit,$5.7920 hourly,$6.4832 hourly,$4.3402 hourly,$8.7360 hourly,$6.5930 hourly
R5AD 12xlarge,r5ad.12xlarge,384 GiB,48 vCPUs,AMD EPYC 7571,1800 GB (2×900 GB NVMe SSD),10 Gigabit,$3.8160 hourly,$5.0060 hourly,$3.5940 hourly,$6.0240 hourly,$4.6120 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384 GiB,96 vCPUs,AMD EPYC 7R13 Processor,3760 GB (4×940 GB NVMe SSD),50 Gigabit,$9.6810 hourly,$12.0618 hourly,$8.6831 hourly,$14.0970 hourly,$10.7183 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7R13 Processor,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.9215 hourly,$3.7151 hourly,$2.6955 hourly,$4.3935 hourly,$3.3739 hourly
C6GD Double Extra Large,c6gd.2xlarge,16 GiB,8 vCPUs,AWS Graviton2 Processor,474 GB NVMe SSD,Up to 10 Gigabit,$0.3920 hourly,$0.5072 hourly,$0.3630 hourly,unavailable,unavailable
C7G 12xlarge,c7g.12xlarge,96 GiB,48 vCPUs,AWS Graviton3 Processor,EBS only,22.5 Gigabit,$2.1830 hourly,$3.3734 hourly,$2.6299 hourly,unavailable,unavailable
G4AD Double Extra Large,g4ad.2xlarge,32 GiB,8 vCPUs,AMD EPYC 7R32,300 GB NVMe SSD,Up to 10 Gigabit,$0.7303 hourly,$0.8455 hourly,$0.6137 hourly,$1.0983 hourly,$0.8665 hourly
M7G Large,m7g.large,8 GiB,2 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.1054 hourly,$0.1342 hourly,$0.0986 hourly,unavailable,unavailable
C6IN 32xlarge,c6in.32xlarge,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$9.1392 hourly,$11.7120 hourly,$8.3305 hourly,$15.0272 hourly,$11.6457 hourly
T2 Small,t2.small,2 GiB,1 vCPUs (4h 48m burst),Intel Xeon Family,EBS only,Low to Moderate,$0.0304 hourly,$0.0448 hourly,$0.0349 hourly,$0.0396 hourly,$0.0297 hourly
R8G Large,r8g.large,16 GiB,2 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.1421 hourly,$0.2059 hourly,$0.1578 hourly,unavailable,unavailable
C6G Eight Extra Large,c6g.8xlarge,64 GiB,32 vCPUs,AWS Graviton2 Processor,EBS only,12 Gigabit,$1.3696 hourly,$2.1632 hourly,$1.6564 hourly,unavailable,unavailable
X2GD Eight Extra Large,x2gd.8xlarge,512 GiB,32 vCPUs,AWS Graviton2 Processor,1900 GB NVMe SSD,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7I-FLEX Large,c7i-flex.large,4 GiB,2 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.1067 hourly,$0.1355 hourly,$0.0992 hourly,$0.1941 hourly,$0.1578 hourly
R6IDN Double Extra Large,r6idn.2xlarge,64 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),474 GB NVMe SSD,Up to 40 Gigabit,$0.9500 hourly,$1.2052 hourly,$0.8537 hourly,$1.3180 hourly,$0.9665 hourly
C6GD 12xlarge,c6gd.12xlarge,96 GiB,48 vCPUs,AWS Graviton2 Processor,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$2.3520 hourly,$2.8704 hourly,$2.0051 hourly,unavailable,unavailable
IM4GN Extra Large,im4gn.xlarge,16 GiB,4 vCPUs,AWS Graviton2 Processor,1875 GB NVMe SSD,Up to 25 Gigabit,$0.4268 hourly,$0.4844 hourly,$0.3324 hourly,unavailable,unavailable
G4AD 16xlarge,g4ad.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7R32,2400 GB (2×1200 GB NVMe SSD),25 Gigabit,$4.6800 hourly,$5.3712 hourly,$3.8855 hourly,$7.6240 hourly,$6.1383 hourly
M5DN Large,m5dn.large,8 GiB,2 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),75 GB NVMe SSD,Up to 25 Gigabit,$0.1750 hourly,$0.2390 hourly,$0.1740 hourly,$0.2670 hourly,$0.2020 hourly
C7GN Eight Extra Large,c7gn.8xlarge,64 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,100 Gigabit,$2.5184 hourly,$3.3120 hourly,$2.3670 hourly,unavailable,unavailable
R6A Metal,r6a.metal,1536 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$13.1328 hourly,$14.9760 hourly,$10.5305 hourly,$21.9648 hourly,$17.5193 hourly
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.2568 hourly,$0.5120 hourly,$0.4170 hourly,unavailable,unavailable
HPC6ID 32xlarge,hpc6id.32xlarge,1024 GiB,64 vCPUs,Intel Xeon Scalable (Icelake),EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5B Extra Large,r5b.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 10 Gigabit,$0.3620 hourly,$0.4196 hourly,$0.2857 hourly,$0.5460 hourly,$0.4121 hourly
M6G 12xlarge,m6g.12xlarge,192 GiB,48 vCPUs,AWS Graviton2 Processor,EBS only,20 Gigabit,$2.3760 hourly,$3.5664 hourly,$2.7022 hourly,unavailable,unavailable
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32 GiB,16 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.8539 hourly,$1.0267 hourly,$0.7359 hourly,$1.5531 hourly,$1.2623 hourly
P3 High Performance GPU Eight Extra Large,p3.8xlarge,244 GiB,32 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,10 Gigabit,$16.7760 hourly,$17.5700 hourly,unavailable,$18.2480 hourly,unavailable
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$1.5800 hourly,$1.9768 hourly,unavailable,$2.3160 hourly,unavailable
G4DN Quadruple Extra Large,g4dn.4xlarge,64 GiB,16 vCPUs,Intel Xeon Family,225 GB NVMe SSD,Up to 25 Gigabit,$1.6250 hourly,$1.7980 hourly,$1.2820 hourly,$2.3610 hourly,$1.8450 hourly
M8G Quadruple Extra Large,m8g.4xlarge,64 GiB,16 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$0.9275 hourly,$1.3243 hourly,$1.0113 hourly,unavailable,unavailable
HPC7A 12xlarge,hpc7a.12xlarge,768 GiB,24 vCPUs,AMD EPYC 9R14 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7G 12xlarge,r7g.12xlarge,384 GiB,48 vCPUs,AWS Graviton3 Processor,EBS only,22.5 Gigabit,$3.1008 hourly,$3.6192 hourly,$2.5696 hourly,unavailable,unavailable
I3 High I/O Metal,i3.metal,512 GiB,72 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),15200 GB (8×1900 GB NVMe SSD),25 Gigabit,$5.8560 hourly,$6.6340 hourly,$4.7420 hourly,$8.8000 hourly,$6.9090 hourly
R6GD Extra Large,r6gd.xlarge,32 GiB,4 vCPUs,AWS Graviton2 Processor,237 GB NVMe SSD,Up to 10 Gigabit,$0.2780 hourly,$0.3356 hourly,$0.2340 hourly,unavailable,unavailable
R6IDN Extra Large,r6idn.xlarge,32 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),237 GB NVMe SSD,Up to 30 Gigabit,$0.4750 hourly,$0.5326 hourly,$0.3569 hourly,$0.6590 hourly,$0.4833 hourly
M7GD 12xlarge,m7gd.12xlarge,192 GiB,48 vCPUs,AWS Graviton3 Processor,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$3.3113 hourly,$3.8297 hourly,$2.6045 hourly,unavailable,unavailable
C7I-FLEX 16xlarge,c7i-flex.16xlarge,128 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 25 Gigabit,$3.4154 hourly,$5.0026 hourly,$3.8394 hourly,$6.3594 hourly,$5.1963 hourly
C8GD Double Extra Large,c8gd.2xlarge,16 GiB,8 vCPUs,AWS Graviton4 Processor,474 GB NVMe SSD,Up to 15 Gigabit,$0.4981 hourly,$0.6133 hourly,unavailable,unavailable,unavailable
C6GN Medium,c6gn.medium,2 GiB,1 vCPUs,AWS Graviton2 Processor,EBS only,Up to 16 Gigabit,$0.0545 hourly,$0.0864 hourly,$0.0660 hourly,unavailable,unavailable
